date,CO,NO2,NO,O3,PM2_5,CO2,AQHI
2025-10-01,0.282205333333333,9.98933333333333,1.34866666666667,12.78,2.73733333333333,643.868,2
2025-10-01 00:15:00,0.273187333333333,8.586,1.412,15.7446666666667,2.71466666666667,636.616666666667,2
2025-10-01 00:30:00,0.268866,8.58,1.54533333333333,16.652,3.026,634.431333333333,2
2025-10-01 00:45:00,0.265494666666667,8.67933333333333,1.59533333333333,16.398,3.01733333333333,634.738,2
2025-10-01 01:00:00,0.263399333333333,7.662,1.65733333333333,17.2966666666667,3.074,633.982666666667,2
2025-10-01 01:15:00,0.262393333333333,7.25666666666667,1.68733333333333,19.0393333333333,3.064,635.138,2
2025-10-01 01:30:00,0.258915333333333,6.50533333333333,1.76266666666667,19.3093333333333,3.09333333333333,636.536666666667,2
2025-10-01 01:45:00,0.260132,6.444,1.59066666666667,17.424,2.78,639.210666666667,2
2025-10-01 02:00:00,0.259066666666667,6.08,1.63533333333333,16.242,2.92533333333333,641.434666666667,2
2025-10-01 02:15:00,0.257640666666667,5.85066666666667,1.53733333333333,13.96,2.774,644.55,2
2025-10-01 02:30:00,0.257363333333333,5.41866666666667,1.6,14.0233333333333,2.89066666666667,645.377333333333,2
2025-10-01 02:45:00,0.257224666666667,5.48466666666667,1.63266666666667,13.6066666666667,2.81,645.659333333333,2
2025-10-01 03:00:00,0.258984,5.70266666666667,1.674,12.6613333333333,2.73,646.501333333333,2
2025-10-01 03:15:00,0.258955333333333,5.39666666666667,1.73666666666667,14.7313333333333,2.782,647.6,2
2025-10-01 03:30:00,0.256680666666667,6.012,1.64333333333333,15.6486666666667,2.68133333333333,647.809333333333,1
2025-10-01 03:45:00,0.258725333333333,6.852,1.41933333333333,11.1493333333333,2.60733333333333,652.082,1
2025-10-01 04:00:00,0.265494666666667,7.53333333333333,1.462,11.8873333333333,2.502,651.527333333333,1
2025-10-01 04:15:00,0.261174,7.74,1.57266666666667,13.1186666666667,2.618,648.172,1
2025-10-01 04:30:00,0.257496,7.726,1.542,13.678,2.45333333333333,647.007333333333,1
2025-10-01 04:45:00,0.258513333333333,7.41933333333333,1.54933333333333,13.3366666666667,2.37133333333333,648.622,1
2025-10-01 05:00:00,0.256679333333333,7.17133333333333,1.56333333333333,13.574,2.51533333333333,650.026,1
2025-10-01 05:15:00,0.255800666666667,6.64,1.71533333333333,14.3973333333333,2.62266666666667,651.046,1
2025-10-01 05:30:00,0.258111333333333,6.49066666666667,1.654,15.0426666666667,2.52533333333333,650.251333333333,1
2025-10-01 05:45:00,0.264110666666667,6.30866666666667,1.72866666666667,14.9993333333333,2.57466666666667,652.812666666667,1
2025-10-01 06:00:00,0.262503333333333,6.23333333333333,1.824,14.9413333333333,2.75333333333333,653.222,1
2025-10-01 06:15:00,0.264830666666667,6.03866666666667,1.816,15.4146666666667,2.69066666666667,651.664,1
2025-10-01 06:30:00,0.266494,5.75866666666667,1.86866666666667,16.1366666666667,2.75266666666667,652.106666666667,1
2025-10-01 06:45:00,0.264336,5.646,1.84266666666667,16.1366666666667,2.99933333333333,651.968666666667,1
2025-10-01 07:00:00,0.269701333333333,5.74733333333333,1.896,16.686,3.122,652.114666666667,1
2025-10-01 07:15:00,0.278204,6.36133333333333,1.87066666666667,14.684,3.21133333333333,655.76,1
2025-10-01 07:30:00,0.282378,6.43466666666667,1.922,15.328,2.824,655.252666666667,1
2025-10-01 07:45:00,0.286639333333333,6.822,1.74066666666667,14.4326666666667,2.808,657.998666666667,1
2025-10-01 08:00:00,0.303591333333333,7.80133333333333,1.68933333333333,11.598,2.90066666666667,664.192,1
2025-10-01 08:15:00,0.31213,7.44133333333333,1.88266666666667,12.188,3.16933333333333,661.63,1
2025-10-01 08:30:00,0.312162666666667,6.90266666666667,2.03266666666667,13.6,3.01,662.464,1
2025-10-01 08:45:00,0.319826,7.772,2.176,13.1826666666667,3.21066666666667,663.812,1
2025-10-01 09:00:00,0.311638,6.14733333333333,2.42733333333333,15.0226666666667,3.322,661.628666666667,1
2025-10-01 09:15:00,0.324078,7.01533333333333,2.54,12.6953333333333,3.392,666.576666666667,1
2025-10-01 09:30:00,0.296454,5.5,2.39533333333333,15.8773333333333,3.46266666666667,660.408666666667,1
2025-10-01 09:45:00,0.297623333333333,5.18866666666667,2.32933333333333,15.2126666666667,3.36066666666667,661.002,1
2025-10-01 10:00:00,0.315207333333333,6.59333333333333,2.068,12.0333333333333,3.75333333333333,665.05,1
2025-10-01 10:15:00,0.299654,5.53733333333333,2.29533333333333,14.128,3.65,660.144,1
2025-10-01 10:30:00,0.290224666666667,5.954,2.16333333333333,15.4293333333333,3.55666666666667,656.722666666667,1
2025-10-01 10:45:00,0.296227333333333,6.42466666666667,2.16333333333333,14.7313333333333,3.592,658.916666666667,1
2025-10-01 11:00:00,0.301256666666667,6.49866666666667,2.21666666666667,15.8773333333333,3.484,657.888,1
2025-10-01 11:15:00,0.303446666666667,7.95866666666667,2.02933333333333,15.178,3.424,658.450666666667,1
2025-10-01 11:30:00,0.291602666666667,7.80066666666667,1.86266666666667,17.1533333333333,3.19666666666667,657.245333333333,1
2025-10-01 11:45:00,0.285851333333333,6.64733333333333,2.04,19.3253333333333,3.01466666666667,658.378666666667,1
2025-10-01 12:00:00,0.279797333333333,5.38266666666667,2.244,19.8566666666667,2.778,657.92,2
2025-10-01 12:15:00,0.270958666666667,4.79266666666667,2.63533333333333,20.9786666666667,2.71133333333333,654.644,2
2025-10-01 12:30:00,0.266620666666667,5.46666666666667,2.324,18.7,2.79266666666667,655.824,2
2025-10-01 12:45:00,0.268136,5.61266666666667,2.14066666666667,19.4586666666667,2.90666666666667,657.952666666667,2
2025-10-01 13:00:00,0.274691333333333,5.70333333333333,2.11266666666667,18.9186666666667,3.12333333333333,657.462,2
2025-10-01 13:15:00,0.267363333333333,5.422,2.05466666666667,17.4893333333333,3.12,655.519333333333,2
2025-10-01 13:30:00,0.268162666666667,5.49266666666667,2.08466666666667,17.452,3.08933333333333,656.948,2
2025-10-01 13:45:00,0.268262666666667,5.45933333333333,2.04533333333333,17.2786666666667,3.13066666666667,658.434,2
2025-10-01 14:00:00,0.274288,5.92133333333333,1.89066666666667,15.2106666666667,3.18533333333333,657.968,2
2025-10-01 14:15:00,0.264512,5.53066666666667,1.868,15.032,2.842,658.384666666667,2
2025-10-01 14:30:00,0.267580666666667,5.196,2.12066666666667,16.6553333333333,2.936,657.222,2
2025-10-01 14:45:00,0.269717333333333,5.29733333333333,2.13866666666667,16.6986666666667,3.09066666666667,657.116666666667,2
2025-10-01 15:00:00,0.274684,5.54933333333333,2.06933333333333,15.52,2.73266666666667,658.626666666667,2
2025-10-01 15:15:00,0.269926,5.16066666666667,2.02533333333333,15.3386666666667,2.75533333333333,658.128,1
2025-10-01 15:30:00,0.275086,5.53866666666667,1.95266666666667,12.8153333333333,2.68866666666667,660.521333333333,1
2025-10-01 15:45:00,0.276320666666667,5.494,1.89066666666667,12.9126666666667,2.68933333333333,658.594666666667,1
2025-10-01 16:00:00,0.327257333333333,5.642,1.952,12.358,2.80066666666667,660.649333333333,1
2025-10-01 16:15:00,0.296899333333333,5.476,1.95,11.8493333333333,2.86,659.943333333333,1
2025-10-01 16:30:00,0.276568,5.43066666666667,1.96866666666667,11.8366666666667,2.912,658.754,1
