date,CO,NO2,NO,O3,PM2_5,CO2,AQHI
2025-09-03 13:15:00,1397.67066666667,2.838,21.5333333333333,37.1733333333333,127.159333333333,396.57,15
2025-09-03 13:30:00,1371.02466666667,4.27266666666667,34.524,35.9726666666667,126.928,401.483333333333,15
2025-09-03 13:45:00,1199.40066666667,4.22133333333333,15.456,37.868,105.848,396.335333333333,14
2025-09-03 14:00:00,1133.75666666667,5.95,77.0133333333333,37.658,94.8113333333333,403.876,12
2025-09-03 14:15:00,1032.01533333333,5.496,11.9986666666667,37.9633333333333,83.848,391.486666666667,11
2025-09-03 14:30:00,897.596666666667,5.69533333333333,13.6346666666667,37.534,68.1766666666667,386.082666666667,9
2025-09-03 14:45:00,883.716666666667,6.11533333333333,39.9313333333333,34.8713333333333,63.5006666666667,385.873333333333,8
2025-09-03 15:00:00,662.558666666667,4.496,5.27,37.776,34.6606666666667,374.688666666667,8
2025-09-03 15:15:00,634.172,4.73333333333333,4.68,37.3873333333333,30.6713333333333,372.56,7
2025-09-03 15:30:00,620.756666666667,5.408,4.02266666666667,36.6353333333333,30.1073333333333,372.704666666667,7
2025-09-03 15:45:00,729.402,5.14733333333333,3.36866666666667,37.5866666666667,28.9966666666667,374.576,6
2025-09-03 16:00:00,1394.87866666667,6.57266666666667,8.84133333333333,34.318,32.346,380.284,6
2025-09-03 16:15:00,954.826666666667,6.26266666666667,28.6593333333333,35.588,32.5006666666667,367.765333333333,5
2025-09-03 16:30:00,646.375333333333,5.82666666666667,4.82266666666667,36.43,33.5793333333333,363.366666666667,5
2025-09-03 16:45:00,642.02,6.02,5.175,35.75,34.045,362.52,5
2025-09-03 17:00:00,611.217333333333,5.97666666666667,20.5473333333333,32.784,32.3046666666667,360.202,4
2025-09-03 17:15:00,587.414,5.968,4.92066666666667,33.7026666666667,30.7453333333333,360.612,4
2025-09-03 17:30:00,570.349333333333,6.77866666666667,12.988,30.7646666666667,32.3366666666667,362.339333333333,4
2025-09-03 17:45:00,597.171333333333,6.998,22.1953333333333,29.1013333333333,31.1066666666667,367.878,4
2025-09-03 18:00:00,647.314,6.806,16.9493333333333,29.1253333333333,31.0066666666667,368.417333333333,4
2025-09-03 18:15:00,643.264666666667,6.684,10.5353333333333,27.9986666666667,32.002,372.479333333333,4
2025-09-03 18:30:00,678.742666666667,6.89933333333333,6.95,27.02,29.488,390.193333333333,4
2025-09-03 18:45:00,578.44,6.07733333333333,9.32733333333333,25.256,29.656,374.118666666667,4
2025-09-03 19:00:00,528.658,5.15533333333333,12.4666666666667,22.7133333333333,24.0213333333333,373.500666666667,4
2025-09-03 19:15:00,580.02,5.14666666666667,11.6486666666667,22.2453333333333,23.9313333333333,383.762,3
2025-09-03 19:30:00,602.548666666667,6.25266666666667,23.216,21.4433333333333,25.5293333333333,385.954,3
