date,CO,NO2,NO,O3,PM2_5,CO2,AQHI
2025-10-01,0.808823333333333,19.2313333333333,4.24,23.3753333333333,1.38,434.975333333333,3
2025-10-01 00:15:00,0.810411333333333,20.6466666666667,4.24,23.3033333333333,1.454,435.2,3
2025-10-01 00:30:00,0.811285333333333,21.1193333333333,4.24,23.3406666666667,1.292,433.177333333333,3
2025-10-01 00:45:00,0.813414,21.41,4.24,23.2946666666667,1.45333333333333,431.690666666667,3
2025-10-01 01:00:00,0.814953333333333,21.5473333333333,4.236,23.222,1.53333333333333,433.040666666667,3
2025-10-01 01:15:00,0.815428666666667,21.394,4.23,23.266,1.46333333333333,432.744666666667,3
2025-10-01 01:30:00,0.815616666666667,21.2493333333333,4.23,23.2826666666667,1.41466666666667,432.76,3
2025-10-01 01:45:00,0.815854,21.8473333333333,4.23,23.282,1.638,432.165333333333,3
2025-10-01 02:00:00,0.817218,21.76,4.23,23.248,1.48266666666667,430.623333333333,3
2025-10-01 02:15:00,0.815848666666667,21.814,4.23,23.2113333333333,1.434,430.214,3
2025-10-01 02:30:00,0.817518666666667,21.7086666666667,4.23,23.3226666666667,1.52733333333333,429.996666666667,3
2025-10-01 02:45:00,0.819442666666667,21.7846666666667,4.23,23.166,1.54,430.542,3
2025-10-01 03:00:00,0.818609333333333,21.756,4.23,23.2086666666667,1.46466666666667,431.466,3
2025-10-01 03:15:00,0.819359333333333,21.8006666666667,4.18733333333333,23.2,1.45933333333333,430.783333333333,3
2025-10-01 03:30:00,0.819520666666667,21.634,4.14466666666667,23.1693333333333,1.48266666666667,431.530666666667,3
2025-10-01 03:45:00,0.818870666666667,21.6926666666667,4.04133333333333,23.088,1.47133333333333,431.288666666667,3
2025-10-01 04:00:00,0.819550666666667,21.7,3.61266666666667,23.0806666666667,1.48866666666667,429.876666666667,3
2025-10-01 04:15:00,0.818702,21.6806666666667,3.588,23.19,1.438,428.053333333333,3
2025-10-01 04:30:00,0.819222666666667,21.642,3.664,23.172,1.36266666666667,428.478,3
2025-10-01 04:45:00,0.820302666666667,21.5386666666667,3.43333333333333,23.098,1.25533333333333,429.168,3
2025-10-01 05:00:00,0.820069333333333,21.7126666666667,3.33,23.054,1.338,428.903333333333,3
2025-10-01 05:15:00,0.819889333333333,21.712,3.33,23.0986666666667,1.252,429.280666666667,3
2025-10-01 05:30:00,0.820480666666667,21.4953333333333,3.33,23.1373333333333,1.22333333333333,429.034,3
2025-10-01 05:45:00,0.817347333333333,21.9966666666667,3.33,24.2686666666667,1.16333333333333,429.691333333333,3
2025-10-01 06:00:00,0.811652666666667,22.0326666666667,3.33,25.4233333333333,1.248,428.67,3
2025-10-01 06:15:00,0.804625333333333,22.0173333333333,3.33,26,1.21133333333333,430.471333333333,3
2025-10-01 06:30:00,0.801156,21.9506666666667,3.39,26.252,1.18333333333333,432.42,3
