date,CO,NO,NO2,O3,CO2,PM2_5,AQHI
2026-04-01 00:00:00,0.183557353516334,4.53056375769596,6.25101789896073,23.4870333333333,436.083352657116,2.37666666666667,2
2026-04-01 00:15:00,0.171279930611167,5.4542999597029,6.58187012135447,27.0149333333333,436.07902479763,2.30133333333333,2
2026-04-01 00:30:00,0.177576294917934,4.75977064660283,6.18607278785413,23.6952666666667,435.850448136877,2.42333333333333,2
2026-04-01 00:45:00,0.2012946083813,4.42944616169463,6.63477145466047,22.2017333333333,436.534380297553,2.44066666666667,2
2026-04-01 01:00:00,0.188142888518367,4.60234575765947,6.54475913138927,23.1734666666667,435.843874645356,2.33,2
2026-04-01 01:15:00,0.227661202653534,3.82776711121347,6.05139735350337,21.9037333333333,436.173018603416,2.402,2
2026-04-01 01:30:00,0.225220150846833,4.84938866663704,5.95379496965856,18.9175,437.140206059473,2.12133333333333,2
2026-04-01 01:45:00,0.2255579414163,4.6488813332117,5.6047790706766,14.2691333333333,438.35931621123,2.17066666666667,2
2026-04-01 02:00:00,0.209975571019467,3.19911355557643,5.53176729291207,15.0537333333333,439.950127667637,2.124,2
2026-04-01 02:15:00,0.2249975340469,8.65554355518596,6.95823466675783,14.7588,445.698103592957,2.21666666666667,2
2026-04-01 02:30:00,0.225779506432367,8.85595422190443,7.7854402626455,17.7988666666667,453.257861833587,2.308,2
2026-04-01 02:45:00,0.223914773763867,9.37846022200968,8.62983917171167,18.0079333333333,454.389224107537,2.22333333333333,2
2026-04-01 03:00:00,0.2235706377375,10.5269657775596,8.90727587880274,17.5590333333333,455.359848081407,2.15666666666667,2
2026-04-01 03:15:00,0.229286377781767,11.2750855554308,10.130636767874,17.6669666666667,456.883210729017,2.03266666666667,2
2026-04-01 03:30:00,0.2441433185374,12.269384222167,10.5122482425923,17.6019666666667,456.208399365794,2.37,2
2026-04-01 03:45:00,0.2439853703787,12.173023999912,10.6401649901163,16.8379333333333,456.903329550407,2.82666666666667,2
2026-04-01 04:00:00,0.249639466693033,11.7966055553079,11.1184506669442,16.6259333333333,457.090302186643,2.91066666666667,2
2026-04-01 04:15:00,0.257682118545034,11.7877626663213,10.7659164447326,16.6675666666667,457.439435537384,3.32266666666667,2
2026-04-01 04:30:00,0.252686874087333,11.4833786664299,10.8291544446763,16.4190666666667,457.554858497323,3.81133333333333,2
2026-04-01 04:45:00,0.2536403629808,11.5969346663423,10.4501297780375,15.5100333333333,459.891836433263,3.546,2
2026-04-01 05:00:00,0.246582081487167,9.45647755548817,9.38860630330334,16.6473,455.789343520547,3.608,2
2026-04-01 05:15:00,0.2321248444696,6.95519577762347,10.0177622225077,19.0973,452.656230486467,2.93666666666667,2
2026-04-01 05:30:00,0.232496212988733,5.47579822222177,10.4181373537666,21.3482333333333,452.35079975603,2.31466666666667,2
2026-04-01 05:45:00,0.238194857435667,5.54152644446184,11.0864929093707,22.3099333333333,452.32945518752,1.65533333333333,2
2026-04-01 06:00:00,0.2414263167063,5.52327400000167,10.7632420002827,22.104,452.46422182761,1.48066666666667,2
2026-04-01 06:15:00,0.255757977813167,5.4338384444511,11.1506944447004,21.0174333333333,452.893699702673,1.37666666666667,2
2026-04-01 06:30:00,0.2760054074359,4.97469311113777,11.9156111114214,22.6182,452.67510275005,1.288,2
2026-04-01 06:45:00,0.289340443549867,5.39620288887353,12.2259060003572,21.8001333333333,453.078475065787,1.37333333333333,2
2026-04-01 07:00:00,0.2943461037309,5.17675422220287,12.2825511114407,22.5848666666667,452.325858155457,1.14133333333333,2
2026-04-01 07:15:00,0.2859942583561,7.5704333331729,12.231313111411,20.2341666666667,454.000427472063,1.252,2
2026-04-01 07:30:00,0.285068510211067,7.97303777763423,12.106897333643,19.4149333333333,454.1179086968,1.554,2
2026-04-01 07:45:00,0.287595095391633,7.0836262220552,12.5965297780549,20.0418666666667,453.615049059133,1.56933333333333,2
2026-04-01 08:00:00,0.2952729279762,5.4601119999279,12.8413944448077,22.5865666666667,452.85217528609,1.896,2
2026-04-01 08:15:00,0.230950605712533,2.18880422224913,12.6334384448284,24.7981,445.32373218786,2.34333333333333,2
2026-04-01 08:30:00,0.202426029600467,2.1794162222284,11.8654215559394,29.3193666666667,444.05107276004,2.52333333333333,2
2026-04-01 08:45:00,0.2234988221866,2.40660686868803,10.9236428891487,29.5925333333333,443.592915548577,2.356,2
2026-04-01 09:00:00,0.218654135332134,2.26548292929343,11.0147706670606,29.3103666666667,444.58435272249,2.51533333333333,2
2026-04-01 09:15:00,0.209662668667833,2.24849804039933,10.6789277782101,29.3743333333333,444.645701224797,2.31066666666667,2
2026-04-01 09:30:00,0.2338059871816,2.34885892928107,10.3985088892632,27.6353333333333,446.046387618984,2.07266666666667,2
2026-04-01 09:45:00,0.2268153131089,2.4150078181879,10.0023135559113,27.6819666666667,446.48896605109,1.84733333333333,2
2026-04-01 10:00:00,0.2272533047826,3.00569800003943,9.0332640000975,24.3682,446.889761673534,1.32466666666667,2
2026-04-01 10:15:00,0.246093982566433,3.4605355556499,8.27396090914327,23.8002,448.86490448995,1.10066666666667,2
2026-04-01 10:30:00,0.218775950149633,12.1733645255481,8.25754066671927,28.5663333333333,447.4112537809,0.824,2
2026-04-01 10:45:00,0.2171843751495,3.73188232325834,8.16002200007294,27.3274666666667,446.64664861197,0.858666666666667,2
2026-04-01 11:00:00,0.221963271449633,3.0607382222548,8.28129555562274,24.6353666666667,446.328422818457,0.956666666666667,2
2026-04-01 11:15:00,0.227651260342333,2.85922638385033,8.58224266671903,24.266,446.96948420834,1.21333333333333,2
2026-04-01 11:30:00,0.228666927000667,2.87179993939937,8.9449855556635,24.6757666666667,447.581273560707,1.466,2
2026-04-01 11:45:00,0.2250502529209,2.6584079394152,9.02619400012657,26.6164333333333,447.433044787444,1.39133333333333,2
2026-04-01 12:00:00,0.227717001071334,2.97379593940184,8.81292133343086,25.1665,448.53218658504,1.432,2
2026-04-01 12:15:00,0.2224302455212,2.70828993940767,9.71784200022626,28.02,447.289657420917,1.256,2
2026-04-01 12:30:00,0.2364238407116,2.62457333332183,9.62396644469763,25.288,447.4560320662,0.954,2
2026-04-01 12:45:00,0.2243567101582,2.85658444445753,9.72304066688343,27.9065,447.62254957461,0.662,2
2026-04-01 13:00:00,0.229638326992467,2.93883600002587,9.74778466686793,26.0899666666667,447.228177288534,0.436666666666667,2
2026-04-01 13:15:00,0.234697450133134,2.9981713333632,9.83522622245062,25.896,447.475888235577,0.304,2
2026-04-01 13:30:00,0.258231333322567,2.96984688885903,9.90235757598736,24.1028,449.182067292597,0.492,2
2026-04-01 13:45:00,0.2552425259116,2.96316199997543,9.74710357599139,24.2862666666667,448.909969653034,0.471333333333333,2
2026-04-01 14:00:00,0.232726791648067,3.0502726666736,9.0151715556602,24.9956,448.342534143004,0.409333333333333,2
2026-04-01 14:15:00,0.2322434064533,2.96707933332337,9.5847044446333,26.0611666666667,447.692980805297,0.252,2
2026-04-01 14:30:00,0.231450280522867,2.98061466665943,9.64485488904923,25.9492333333333,447.728248111664,0.278,2
2026-04-01 14:45:00,0.220910675145667,2.9975757778064,9.60096800019602,30.3636,447.124667737303,0.197333333333333,2
2026-04-01 15:00:00,0.232572218488833,2.90888133332653,9.59251822244493,27.6792333333333,447.422385896503,0.282,2
2026-04-01 15:15:00,0.238978151817667,2.9190511110962,9.83569888917639,25.8006666666667,447.451086430807,0.234,2
2026-04-01 15:30:00,0.228323260324767,2.81901066667707,9.94139666692376,28.4465,447.768376287213,0.243333333333333,2
2026-04-01 15:45:00,0.2289239316209,2.90960155557237,9.86249600029019,29.9676,447.369441182653,0.252666666666667,2
2026-04-01 16:00:00,0.238352435321067,2.8928311111309,10.0843762225651,27.8593666666667,447.515200809423,0.216,2
2026-04-01 16:15:00,0.216433268653667,2.7307393333567,10.102701333681,27.8447333333333,446.841670014534,0.176666666666667,2
2026-04-01 16:30:00,0.237033024216867,2.93203755557327,10.3478624448128,28.1076,447.38285980007,0.200666666666667,2
2026-04-01 16:45:00,0.221021650145534,2.79852000002543,10.4501917781622,28.8375,446.724731965007,0.170666666666667,2
2026-04-01 17:00:00,0.216940809398667,2.84848222225063,10.6856673336638,27.8026,446.84468580093,0.210666666666667,2
2026-04-01 17:15:00,0.232764127920034,2.8717648889147,10.684042000359,27.7035666666667,446.957671193157,0.224666666666667,2
2026-04-01 17:30:00,0.224759387182967,2.83461977780463,10.8234024447834,27.6065,447.033228287684,0.294,2
2026-04-01 17:45:00,0.237073135325767,2.86391955558603,10.9316433336689,27.5152,446.98076320922,0.336666666666667,2
2026-04-01 18:00:00,0.225038920512633,2.79434311114893,11.0457624447799,27.5654666666667,447.063176100997,0.327333333333333,2
2026-04-01 18:15:00,0.2368467464443,2.83086466670733,11.1128764447125,27.2291333333333,447.489453574377,0.374,2
2026-04-01 18:30:00,0.236778342735867,2.8456517778238,11.1517628891422,25.0647,447.637043137274,0.347333333333333,2
2026-04-01 18:45:00,0.261141676079167,3.1849780000716,11.2230408891614,25.0183,448.160607589224,0.542666666666667,2
2026-04-01 19:00:00,0.247428261261833,3.153418222292,11.2552191113878,24.8933666666667,447.810080915367,0.517333333333333,2
2026-04-01 19:15:00,0.253416709415533,3.17650866675877,11.4334108891777,24.6298333333333,448.194867859244,0.485333333333333,2
2026-04-01 19:30:00,0.251403216819467,3.0419211111908,11.4546188891955,24.7753666666667,447.836678536857,0.51,2
2026-04-01 19:45:00,0.2547257464513,3.14792177786333,11.6321828891726,24.8189333333333,448.190751434117,0.966,2
2026-04-01 20:00:00,0.255694118501467,3.16341400001567,11.7459055558464,24.7961666666667,448.034672370954,0.478,2
2026-04-01 20:15:00,0.257472777761833,3.25305644446747,11.8825660003383,24.7841666666667,448.251503058584,0.553333333333333,2
2026-04-01 20:30:00,0.269776837032767,3.19105666667683,11.9078257780839,24.3649333333333,449.658280844697,0.677333333333333,2
2026-04-01 20:45:00,0.2665238370254,3.0944937777999,11.7323453336066,24.3476,449.67649580466,0.533333333333333,2
2026-04-01 21:00:00,0.267495096286867,2.95659400005203,11.8907971113713,24.4889,448.522987861207,0.406,2
2026-04-01 21:15:00,0.273933883496733,2.95546422228313,11.8999124447019,24.1413666666667,448.634497860723,0.267333333333333,2
2026-04-01 21:30:00,0.265739096286267,2.90463533337497,11.9297173336347,24.3630666666667,448.21494934204,0.586666666666667,2
2026-04-01 21:45:00,0.2656110740593,2.9489815555945,11.8694431114133,24.3971333333333,448.143155193194,0.43,2
2026-04-01 22:00:00,0.2698216185045,2.90158533337723,11.7375222224891,24.4268333333333,448.54645218156,0.427333333333333,2
2026-04-01 22:15:00,0.2765934370313,3.29253377780633,11.9331891114391,24.3490666666667,450.05958039379,0.333333333333333,2
2026-04-01 22:30:00,0.272152837027467,3.17970955558173,11.7846042225679,24.2754333333333,449.81322962777,0.353333333333333,2
2026-04-01 22:45:00,0.2766113111039,3.30805111112807,11.4821362225154,24.2944,449.904165058593,0.232,2
2026-04-01 23:00:00,0.286207377773367,3.5622973333134,11.6902491113971,24.1812,451.077291338097,0.377333333333333,2
2026-04-01 23:15:00,0.275635807398767,3.29308755557373,11.9909502225657,24.2155,449.989535498403,0.259333333333333,2
2026-04-01 23:30:00,0.286788451857833,3.65044711112434,11.9672528892152,24.0388,453.00779253803,0.203333333333333,2
2026-04-01 23:45:00,0.2806598518694,4.24349355562187,11.9788344447651,23.7854333333333,453.671191511487,0.316,2
2026-04-02 00:00:00,0.281404296312333,5.07156222223867,11.8526742225556,23.6148,457.883670319433,0.369333333333333,2
2026-04-02 00:15:00,0.280585014826533,5.34798866667104,11.7999962225406,23.2266666666667,458.65082976739,0.307333333333333,2
2026-04-02 00:30:00,0.279772214823,5.34950177778137,11.8261235558597,23.1166,458.675326797034,0.224,2
2026-04-02 00:45:00,0.277650696307867,6.32560044443273,12.7281157780752,22.9608666666667,460.069010326277,0.218666666666667,2
2026-04-02 01:00:00,0.273429133355633,7.12303688881466,13.0002780001135,21.9903,461.413418303037,0.306666666666667,2
2026-04-02 01:15:00,0.265249377803367,10.3695466664818,12.9515773333419,20.8649666666667,463.717090756554,0.338,2
2026-04-02 01:30:00,0.279400755577533,10.71178688866,12.8002031111831,20.3308333333333,463.582962180957,0.206666666666667,2
2026-04-02 01:45:00,0.268467785201167,13.8745124441842,12.7341584444733,19.8803,464.708192474503,0.247333333333333,2
2026-04-02 02:00:00,0.273778533352533,14.2400755552605,12.6600697777991,19.9943666666667,465.655593278383,0.231333333333333,2
2026-04-02 02:15:00,0.265487362980767,14.327663777464,12.5973184445199,18.4461666666667,465.802603755397,0.202,2
2026-04-02 02:30:00,0.265546088903,14.3465935552492,12.5890455556243,18.4688333333333,466.87262011908,0.269333333333333,2
2026-04-02 02:45:00,0.2669913333497,13.9980268886676,12.5114086667209,18.4957,466.8091869786,0.13,2
2026-04-02 03:00:00,0.273323185204,13.926827333123,12.5965240000813,18.3222666666667,467.377218679697,0.444,2
2026-04-02 03:15:00,0.271976955572133,14.4292762219684,12.5476660000798,18.7732666666667,467.483463710254,0.473333333333333,2
2026-04-02 03:30:00,0.271698533345933,15.1309802219401,12.6219946667261,18.8583,467.669133176917,0.326,2
2026-04-02 03:45:00,0.269843096312133,14.9466313330851,12.6104968889603,18.6662666666667,467.454753728304,0.266666666666667,2
2026-04-02 04:00:00,0.273476155569167,14.8398851108703,12.6877855556069,18.6089666666667,467.604526642104,0.307333333333333,2
2026-04-02 04:15:00,0.271615970373633,15.9814962220404,12.6458611111366,18.5362,467.697041483567,0.296666666666667,2
2026-04-02 04:30:00,0.2782282296424,17.6860213329636,12.5799322222486,18.7793,468.983690742513,0.217,2
2026-04-02 04:45:00,0.274928429641233,17.6619975551934,12.5956662222513,18.7409666666667,468.80357586695,0.468666666666667,2
2026-04-02 05:00:00,0.276781137047333,17.9316651106192,12.5605633333357,18.5281666666667,469.015637974413,0.333333333333333,2
2026-04-02 05:15:00,0.286213372219833,17.9619439995196,12.5111339999991,18.4431666666667,470.213954312927,0.184,2
2026-04-02 05:30:00,0.285946912954933,18.0550046661979,12.658277999975,18.4888333333333,469.493707038867,0.368,2
2026-04-02 05:45:00,0.271383474075233,18.3496988883983,13.2686779999791,17.5973666666667,472.078536800617,0.264666666666667,2
2026-04-02 06:00:00,0.289752327776367,18.6868079994647,13.2599831111042,17.9322333333333,473.42949796535,0.232666666666667,2
2026-04-02 06:15:00,0.287668938885467,19.255765332833,14.0734984445989,18.1990333333333,474.50892931474,0.403333333333333,2
2026-04-02 06:30:00,0.289539168512733,18.884915777294,14.1289553334592,18.3681,474.006538179873,0.511333333333333,2
2026-04-02 06:45:00,0.2956290388796,19.458103999463,14.0988166667835,18.7825333333333,474.440813212333,0.441333333333333,2
